Position,class,breed_name,size,exercise,size_of_home,grooming,coat_length,sheds,lifespan,vulnerable_native_breed,town_or_country,size_of_garden
84,GUNDOG,German Longhaired Pointer,Large,More than 2 hours per day,Large house,More than once a week,Medium,Yes,Over 10 years,No,Country,Large garden
85,WORKING,German Pinscher,Medium,Up to 1 hour per day,Small house,Once a week,Short,Yes,Over 10 years,No,Either,Small/ medium garden
86,PASTORAL,German Shepherd Dog,Large,More than 2 hours per day,Large house,More than once a week,Short & long,Yes,Over 10 years,No,Either,Large garden
87,GUNDOG,German Shorthaired Pointer,Medium,More than 2 hours per day,Large house,Once a week,Short,Yes,Over 10 years,No,Country,Large garden
88,UTILITY,German Spitz (Klein),Small,Up to 1 hour per day,Flat/ Apartment,Every day,Medium,Yes,Over 12 years,No,Either,Small/ medium garden
89,UTILITY,German Spitz (Mittel),Medium,Up to 1 hour per day,Small house,More than once a week,Medium,Yes,Over 12 years,No,Either,Small/ medium garden
90,GUNDOG,German Wirehaired Pointer,Large,More than 2 hours per day,Large house,More than once a week,Medium,Yes,Over 10 years,No,Country,Large garden
91,WORKING,Giant Schnauzer,Large,More than 2 hours per day,Large house,Every day,Medium,No,Over 12 years,No,Either,Large garden
92,TERRIER,Glen Of Imaal Terrier,Small,Up to 1 hour per day,Small house,More than once a week,Medium,No,Over 10 years,Yes,Country,Small/ medium garden
93,GUNDOG,Gordon Setter,Large,More than 2 hours per day,Large house,More than once a week,Medium,Yes,Over 10 years,Yes,Country,Large garden
94,HOUND,Grand Bleu De Gascogne (Imp),Large,More than 2 hours per day,Large house,Once a week,Short,Yes,Under 10 years,No,Either,Large garden
95,WORKING,Great Dane,Large,More than 2 hours per day,Large house,Once a week,Short,Yes,Under 10 years,No,Either,Large garden
96,WORKING,Great Swiss Mountain Dog,Large,Up to 1 hour per day,Large house,Once a week,Short,Yes,Over 10 years,No,Country,Large garden
97,WORKING,Greenland Dog,Large,More than 2 hours per day,Large house,Once a week,Medium,Yes,Over 10 years,No,Country,Large garden
98,HOUND,Greyhound,Large,Up to 1 hour per day,Large house,Once a week,Short,Yes,Over 10 years,No,Either,Large garden
99,TOY,Griffon Bruxellois,Small,Up to 30 minutes per day,Flat/ Apartment,More than once a week,Medium,Yes,Over 12 years,No,Either,Small/ medium garden
100,HOUND,Griffon Fauve De Bretagne (Imp),Medium,Up to 1 hour per day,Small house,Once a week,Medium,Yes,Over 10 years,No,Country,Small/ medium garden
101,HOUND,Hamiltonstovare,Medium,More than 2 hours per day,Large house,Once a week,Short,Yes,Over 10 years,No,Country,Large garden
102,HOUND,Harrier,Large,More than 2 hours per day,Large house,Once a week,Short,Yes,Over 12 years,No,Country,Large garden
103,TOY,Havanese,Small,Up to 30 minutes per day,Flat/ Apartment,Every day,Long,No,Over 12 years,No,Either,Small/ medium garden
